order_id,customer_name,product,quantity,unit_price,order_date,region
72.0,Seamus,Mercedes-Benz,15.0,16109.0,11/2/2023,Uganda
73.0,Maggee,Ford,7.0,21047.0,4/28/2023,Tanzania
74.0,Eldon,,8.0,22882.0,3/16/2023,Uganda
75.0,Kimberli,,,,2/7/2023,
76.0,Lanni,Citroën,4.0,22160.0,5/6/2023,Tanzania
77.0,Kristi,Land Rover,20.0,24456.0,5/3/2023,
78.0,Jocelin,Jaguar,,,2/2/2023,Tanzania
,Bartholomeus,Chevrolet,,17545.0,1/17/2023,Uganda
80.0,Jenn,Isuzu,3.0,,8/18/2023,Tanzania
81.0,Gun,Audi,19.0,25271.0,6/30/2023,Tanzania
,Teddie,Pontiac,7.0,25795.0,3/31/2023,Kenya
83.0,Daryl,Pontiac,,19258.0,1/13/2023,Tanzania
84.0,Avie,Plymouth,,28998.0,2/16/2023,Tanzania
85.0,Kare,Dodge,,28443.0,3/25/2023,Kenya
86.0,Flory,Lexus,11.0,,11/17/2023,
87.0,Meredeth,,8.0,19689.0,10/20/2023,Tanzania
88.0,Nathanil,Audi,1.0,18616.0,10/29/2023,
,Gerry,Subaru,7.0,28918.0,7/10/2023,Tanzania
90.0,Floria,Chevrolet,,18182.0,1/3/2023,Tanzania
,Nathan,GMC,15.0,22310.0,12/31/2023,Tanzania
92.0,Constantino,Ford,,23278.0,10/19/2023,Tanzania
93.0,Donetta,Ford,17.0,28543.0,1/8/2023,Tanzania
94.0,Jaquelyn,Cadillac,6.0,19482.0,7/13/2023,Tanzania
95.0,Susie,,20.0,,3/1/2023,Uganda
96.0,Maurits,Mercury,,21929.0,4/6/2023,Kenya
97.0,Konstance,Pontiac,15.0,26547.0,7/4/2023,Kenya
98.0,Lesly,Chevrolet,5.0,19022.0,2/5/2023,
,Cris,Toyota,3.0,15900.0,9/9/2023,Kenya
,Louis,Plymouth,10.0,,8/23/2023,
101.0,Natty,Mercury,,13307.0,6/29/2023,
102.0,Omar,GMC,,18559.0,10/11/2023,
103.0,Kessiah,Dodge,,17939.0,12/22/2023,Kenya
104.0,Anton,Chevrolet,,,4/5/2023,Uganda
105.0,Angie,Ford,20.0,,5/4/2023,Uganda
106.0,Lyle,Porsche,,27075.0,10/3/2023,Kenya
,Alysia,,,26031.0,5/11/2023,Tanzania
108.0,Wendel,,18.0,16795.0,12/13/2023,Kenya
109.0,Helenka,,,13109.0,10/24/2023,Tanzania
110.0,Riki,,4.0,21545.0,11/10/2023,Uganda
111.0,Sheila,Mazda,7.0,11520.0,10/31/2023,Tanzania
,Rozele,,7.0,,1/10/2023,Tanzania
,Boote,Infiniti,,13491.0,1/17/2023,Tanzania
,Tootsie,GMC,,15342.0,5/24/2023,Uganda
115.0,Mavra,Chevrolet,,21438.0,4/1/2023,Tanzania
116.0,Jenny,Ford,,11587.0,7/2/2023,Tanzania
117.0,Dionisio,Ford,,12135.0,7/27/2023,Tanzania
118.0,Umeko,Land Rover,,,2/21/2023,
119.0,Halsey,Dodge,10.0,25190.0,5/20/2023,Tanzania
,Allen,Mercedes-Benz,,17375.0,6/4/2023,Uganda
121.0,Sophey,Lexus,,15959.0,7/25/2023,Tanzania
,Kalila,,1.0,,12/30/2023,
123.0,Staffard,Toyota,1.0,14802.0,5/1/2023,
124.0,Bram,Subaru,12.0,29044.0,7/28/2023,Uganda
125.0,Glen,Chevrolet,,27286.0,8/21/2023,Tanzania
126.0,Jourdain,Dodge,20.0,20469.0,9/18/2023,Tanzania
,Barris,Infiniti,7.0,13624.0,10/21/2023,
128.0,Adi,Pontiac,6.0,25374.0,3/6/2023,
129.0,Ingeberg,,2.0,20797.0,10/30/2023,Tanzania
130.0,Joseito,Toyota,,17811.0,1/30/2023,
131.0,Trula,Chrysler,6.0,29655.0,1/18/2023,
132.0,Wyn,Ford,2.0,14871.0,8/9/2023,
133.0,Effie,Chevrolet,,28769.0,5/13/2023,Kenya
134.0,Carline,Honda,16.0,14165.0,1/24/2023,
,Lonna,Chrysler,18.0,25064.0,2/18/2023,
136.0,Moyra,,18.0,25732.0,3/5/2023,Tanzania
137.0,Dolli,Chevrolet,,29429.0,1/10/2023,Tanzania
138.0,Raffaello,Toyota,10.0,29552.0,8/16/2023,Tanzania
139.0,Farah,Saturn,,14826.0,7/18/2023,Kenya
,Suzanna,Volkswagen,,14156.0,11/18/2023,Uganda
141.0,Petey,Acura,6.0,18368.0,5/1/2023,
142.0,Lucias,,2.0,21700.0,3/21/2023,Kenya
143.0,Antonella,Hyundai,14.0,17764.0,7/24/2023,Uganda
144.0,Rickey,,,,5/27/2023,Uganda
145.0,Neils,Pontiac,,14802.0,6/30/2023,Kenya
146.0,Jere,Hyundai,17.0,,2/28/2023,Tanzania
147.0,Minny,Plymouth,,,1/3/2023,Uganda
148.0,Thomasina,Toyota,12.0,23000.0,10/29/2023,Uganda
149.0,Mathe,Audi,,13264.0,11/11/2023,Tanzania
150.0,Arlena,,8.0,,7/8/2023,Tanzania
151.0,Immanuel,Isuzu,,10309.0,7/9/2023,Tanzania
152.0,Myrtie,,5.0,,6/3/2023,
,Nanci,,,11145.0,7/29/2023,Kenya
154.0,Mitch,Mitsubishi,6.0,21971.0,9/16/2023,
,Nicol,Ford,,29711.0,7/10/2023,Tanzania
,Arlan,Mitsubishi,,,3/20/2023,Uganda
157.0,Abdel,Pontiac,4.0,21219.0,10/16/2023,
158.0,Emelda,,,26136.0,12/17/2023,
159.0,Morgan,Mitsubishi,,27992.0,11/19/2023,
160.0,Kingsly,,4.0,,6/2/2023,Uganda
161.0,Patty,,,,4/16/2023,Tanzania
162.0,Sena,Buick,7.0,15720.0,8/11/2023,
163.0,Cissy,,14.0,,8/20/2023,Kenya
164.0,Garrik,Toyota,17.0,,8/23/2023,Tanzania
165.0,Pierson,Mazda,,22968.0,9/3/2023,Uganda
166.0,Jere,,16.0,24253.0,5/9/2023,Tanzania
167.0,Monro,Mazda,10.0,19492.0,10/23/2023,Tanzania
,Olva,Dodge,1.0,19670.0,6/26/2023,Tanzania
169.0,Sella,Chevrolet,14.0,10232.0,12/21/2023,Tanzania
170.0,Keelia,Dodge,11.0,14625.0,1/1/2023,Tanzania
171.0,Ellsworth,,16.0,,8/15/2023,Tanzania
172.0,Olag,Maybach,10.0,19193.0,6/3/2023,Uganda
173.0,Jedidiah,,5.0,28999.0,12/18/2023,
,Olwen,Ford,7.0,18089.0,1/8/2023,Tanzania
175.0,Leandra,Ram,,,10/8/2023,Tanzania
176.0,Latrina,Ford,19.0,28399.0,4/14/2023,Kenya
177.0,Calypso,,20.0,29258.0,10/14/2023,Uganda
178.0,Selena,Mazda,3.0,,7/8/2023,Tanzania
179.0,Rollin,Lexus,,28401.0,8/9/2023,Kenya
180.0,Dorothea,,,20653.0,9/19/2023,
181.0,Frasco,Lotus,14.0,,3/17/2023,Tanzania
182.0,Conny,BMW,,,12/30/2023,Kenya
183.0,Fredek,Cadillac,,,9/15/2023,Kenya
,Darrin,,,20569.0,6/20/2023,Kenya
185.0,Rey,Chevrolet,16.0,12856.0,10/16/2023,Uganda
186.0,Weidar,Lexus,,27433.0,4/28/2023,
187.0,Jacques,,,,10/29/2023,Uganda
,Alic,Lincoln,,17919.0,2/14/2023,
,Merle,Honda,,18076.0,1/1/2023,Uganda
190.0,Annis,Volvo,6.0,17338.0,12/23/2023,Kenya
191.0,Roxanna,Volkswagen,6.0,26739.0,10/5/2023,Tanzania
192.0,Emmie,GMC,15.0,25573.0,1/7/2023,Tanzania
193.0,Solomon,Mazda,15.0,19959.0,6/28/2023,Tanzania
,Gerda,Chevrolet,9.0,23944.0,2/19/2023,Tanzania
195.0,Guglielma,,1.0,25242.0,3/27/2023,Tanzania
196.0,Laurice,Ford,9.0,,1/14/2023,Tanzania
197.0,Tyler,Volkswagen,,24463.0,11/11/2023,Tanzania
198.0,Nancie,Toyota,,24674.0,3/31/2023,Kenya
199.0,Yard,Lexus,,14282.0,7/18/2023,Tanzania
,Modesty,Porsche,15.0,18533.0,8/29/2023,Kenya
201.0,Hermione,Ford,12.0,10298.0,5/5/2023,Tanzania
202.0,Mateo,Chevrolet,,26029.0,12/19/2023,Tanzania
203.0,Nicolai,,,18729.0,4/27/2023,Kenya
204.0,Ceil,Chevrolet,8.0,16349.0,5/20/2023,Tanzania
,Lu,Mercedes-Benz,9.0,,7/20/2023,
,Ewen,Mercedes-Benz,,24623.0,12/10/2023,Uganda
207.0,Selig,Pontiac,4.0,14578.0,7/11/2023,
208.0,Micheal,BMW,,21043.0,8/23/2023,Uganda
209.0,Beryl,Isuzu,,19175.0,2/4/2023,Tanzania
210.0,Barton,Mercedes-Benz,,15885.0,11/26/2023,
211.0,Jolie,Chevrolet,12.0,28552.0,9/20/2023,Kenya
212.0,Juana,BMW,1.0,15731.0,3/23/2023,
213.0,Zechariah,,11.0,25543.0,8/23/2023,Uganda
214.0,Olav,Cadillac,,,3/12/2023,Kenya
215.0,Melissa,Saab,,16898.0,5/16/2023,Tanzania
216.0,Gawen,,,16383.0,5/22/2023,Tanzania
217.0,Cherilyn,Pontiac,2.0,23247.0,1/28/2023,
,Reta,,,22093.0,3/20/2023,Uganda
,Yehudit,,9.0,19664.0,6/28/2023,Tanzania
220.0,Conant,Subaru,15.0,23823.0,3/8/2023,
221.0,Yulma,Acura,,13018.0,7/5/2023,Tanzania
222.0,Andrej,Buick,1.0,,11/10/2023,Tanzania
223.0,Nels,Isuzu,2.0,,12/26/2023,Tanzania
224.0,Arlana,Cadillac,7.0,11932.0,5/4/2023,Tanzania
225.0,Liam,Eagle,,15882.0,5/2/2023,Kenya
,Dianne,Mitsubishi,11.0,14372.0,7/12/2023,Uganda
227.0,Bethanne,Mercury,15.0,29158.0,4/20/2023,
228.0,Allx,Volvo,13.0,,11/15/2023,Tanzania
229.0,Gabi,Lexus,6.0,21309.0,6/8/2023,
,Mavis,Honda,10.0,,4/20/2023,
,Oralle,,,21410.0,9/9/2023,Tanzania
232.0,Carmelia,Plymouth,16.0,,2/4/2023,
233.0,Karly,Honda,14.0,25311.0,12/9/2023,Tanzania
,Clarita,Mercury,,13041.0,9/10/2023,Tanzania
,Micki,GMC,,10884.0,6/8/2023,Kenya
236.0,Nichol,Dodge,,25430.0,5/27/2023,Kenya
,Shadow,,,19963.0,10/25/2023,
,Mikol,Ford,,23355.0,9/16/2023,Uganda
239.0,Kore,Geo,,,4/22/2023,Uganda
240.0,Almeria,Bentley,,15133.0,1/16/2023,Tanzania
241.0,Gracia,Lexus,,15274.0,1/18/2023,Tanzania
242.0,Forrest,,12.0,18217.0,8/14/2023,Tanzania
243.0,Diandra,Pontiac,,24829.0,7/17/2023,
244.0,Raoul,,,29443.0,8/12/2023,Uganda
245.0,Arlin,Mitsubishi,,20159.0,9/22/2023,Tanzania
246.0,Ethelin,Toyota,,,5/21/2023,Tanzania
,Chiquia,Chevrolet,18.0,19454.0,11/4/2023,Tanzania
248.0,Nadine,Lincoln,,19978.0,5/15/2023,Kenya
249.0,Miriam,BMW,18.0,15901.0,1/20/2023,Uganda
250.0,Aylmer,Volkswagen,9.0,13550.0,4/13/2023,Tanzania
251.0,Gail,Infiniti,14.0,26145.0,4/19/2023,Kenya
252.0,Colby,,,,12/6/2023,Kenya
253.0,Georgi,,,17651.0,12/3/2023,Kenya
,Beau,Mazda,12.0,21332.0,4/15/2023,Tanzania
255.0,Rora,Buick,18.0,11323.0,9/24/2023,Tanzania
256.0,Koralle,Toyota,5.0,,7/4/2023,Kenya
257.0,Alvis,,,29850.0,3/29/2023,Tanzania
258.0,Adair,Dodge,16.0,20761.0,9/13/2023,Tanzania
259.0,Damiano,Lexus,,12623.0,7/6/2023,Kenya
260.0,Maggie,Mercury,,10872.0,4/10/2023,Tanzania
,Earl,Ford,,,6/24/2023,Tanzania
,Mandel,Suzuki,13.0,21543.0,12/14/2023,
,Cybill,Mazda,,12903.0,2/21/2023,Tanzania
264.0,Hope,Dodge,3.0,21906.0,7/9/2023,Tanzania
,Edik,,2.0,,3/7/2023,Tanzania
266.0,Wildon,Cadillac,7.0,,7/31/2023,Tanzania
,Wendeline,Jaguar,,18519.0,12/2/2023,Kenya
,Dorothea,,11.0,10449.0,1/30/2023,
269.0,Jackie,Mitsubishi,,26192.0,6/8/2023,Kenya
270.0,Danila,,,,9/6/2023,
271.0,Loutitia,Pontiac,18.0,22445.0,1/1/2023,
272.0,Ariel,,,25097.0,5/20/2023,
273.0,Kerrin,Mercedes-Benz,,17109.0,5/31/2023,
274.0,Sasha,Oldsmobile,19.0,24268.0,3/1/2023,Kenya
275.0,Justus,,,14001.0,7/14/2023,Uganda
,Graham,,15.0,,11/24/2023,Tanzania
277.0,Norean,Pontiac,14.0,24730.0,2/3/2023,
,Xenia,GMC,3.0,24724.0,4/15/2023,
,Mufinella,Oldsmobile,12.0,,9/13/2023,Kenya
,Paolo,Kia,16.0,19456.0,5/6/2023,Uganda
281.0,Barney,,1.0,13922.0,8/29/2023,Tanzania
282.0,Merwyn,Saab,,26407.0,4/19/2023,Tanzania
283.0,Brooks,Cadillac,16.0,15637.0,11/10/2023,Uganda
284.0,Lane,Toyota,14.0,26755.0,9/12/2023,Tanzania
285.0,Lexi,,19.0,27473.0,8/6/2023,Tanzania
286.0,Kimmi,Volkswagen,,,3/23/2023,Tanzania
287.0,Deidre,BMW,11.0,,4/5/2023,Uganda
288.0,Bennie,Nissan,13.0,18928.0,9/19/2023,Tanzania
289.0,Masha,Jeep,,23556.0,5/14/2023,Uganda
290.0,Shawn,,1.0,16047.0,12/25/2023,Tanzania
291.0,Ashla,Lexus,4.0,11577.0,8/29/2023,Uganda
,Tabor,,,21214.0,7/29/2023,
293.0,Ciel,Ford,10.0,24223.0,1/26/2023,Tanzania
294.0,Brocky,Honda,15.0,29711.0,1/12/2023,Tanzania
,Nathaniel,Volvo,3.0,10451.0,4/9/2023,Tanzania
296.0,Emmi,Buick,,21261.0,8/31/2023,Tanzania
,Lucie,Toyota,,18697.0,1/7/2023,Tanzania
298.0,Quintina,Ford,,10256.0,12/22/2023,Uganda
299.0,Meridel,Mercury,5.0,24233.0,1/8/2023,Tanzania
300.0,Peggie,Buick,,16989.0,12/28/2023,Kenya
301.0,Maddie,Mercedes-Benz,10.0,10280.0,11/22/2023,Tanzania
,Rahel,,5.0,,10/21/2023,Tanzania
,Cleon,Volkswagen,18.0,22790.0,12/18/2023,
304.0,Izaak,Mercury,5.0,12138.0,4/21/2023,Tanzania
,Janos,Lamborghini,,28454.0,4/21/2023,Tanzania
306.0,Dietrich,Audi,18.0,,7/26/2023,Tanzania
307.0,Giovanna,,,,3/20/2023,Tanzania
,Kirk,Nissan,12.0,17803.0,5/31/2023,Uganda
,Sonnie,Kia,19.0,12630.0,4/6/2023,Tanzania
310.0,Andie,,5.0,20384.0,12/31/2023,Uganda
311.0,Kerry,Audi,8.0,,3/5/2023,Uganda
312.0,Gilbert,Infiniti,,17585.0,8/13/2023,Uganda
313.0,Murial,Ford,,26207.0,1/1/2023,Kenya
,Kate,Mitsubishi,,21836.0,2/17/2023,Uganda
,Hardy,Aston Martin,17.0,20733.0,5/7/2023,Tanzania
,Giles,Volkswagen,1.0,21401.0,10/17/2023,Tanzania
317.0,Nanete,,1.0,14334.0,7/26/2023,
318.0,Daren,Porsche,14.0,11632.0,12/20/2023,Kenya
,Morton,,,24559.0,8/31/2023,Tanzania
320.0,Matty,Mazda,19.0,19477.0,11/5/2023,Kenya
321.0,Delbert,Lexus,20.0,,8/13/2023,
322.0,Stefanie,,,,1/10/2023,Uganda
323.0,Buffy,Acura,7.0,29386.0,6/24/2023,Tanzania
324.0,Delmar,Toyota,,28145.0,3/4/2023,Tanzania
,Shanda,,,22566.0,1/16/2023,
326.0,Vernor,Chevrolet,20.0,12483.0,10/19/2023,Tanzania
327.0,Jerrie,Kia,16.0,21458.0,7/2/2023,Uganda
,Dinny,Cadillac,4.0,10908.0,12/2/2023,Kenya
329.0,Kevan,BMW,,19944.0,11/12/2023,Kenya
,Wes,Toyota,17.0,,8/15/2023,Uganda
331.0,Amanda,Maserati,8.0,13032.0,4/7/2023,Uganda
,Lyndy,Lincoln,19.0,21650.0,3/10/2023,
,Fredericka,Kia,5.0,12758.0,7/25/2023,Tanzania
334.0,Skyler,Ford,9.0,27912.0,12/29/2023,Kenya
335.0,Salvador,,20.0,15729.0,11/15/2023,
336.0,Brocky,Volkswagen,,22546.0,4/19/2023,Uganda
,Stormie,Cadillac,5.0,23056.0,3/19/2023,Kenya
,Hilde,Saturn,,11659.0,9/18/2023,Tanzania
339.0,Arlan,,2.0,21457.0,8/12/2023,Tanzania
340.0,Donnajean,,7.0,26984.0,6/26/2023,Uganda
341.0,Fayina,Ford,15.0,23565.0,11/16/2023,Uganda
342.0,Eadmund,Mazda,,25493.0,11/16/2023,Kenya
343.0,Shayne,Land Rover,,29411.0,7/23/2023,Uganda
344.0,Denney,Pontiac,11.0,24347.0,7/25/2023,Uganda
345.0,Aggy,Toyota,14.0,28747.0,6/24/2023,Tanzania
346.0,Cayla,Mercury,18.0,20640.0,4/25/2023,Tanzania
347.0,Idell,Kia,17.0,24394.0,11/15/2023,Kenya
,Dominik,Land Rover,,,9/19/2023,Kenya
,Lazaro,Acura,11.0,,2/22/2023,Tanzania
,Cthrine,,,,6/7/2023,
351.0,Amory,,,26594.0,8/5/2023,Uganda
352.0,Miquela,GMC,3.0,24533.0,4/27/2023,
,Cullen,GMC,14.0,24889.0,12/21/2023,Uganda
354.0,Blondell,,14.0,28546.0,10/13/2023,Tanzania
355.0,Pate,Cadillac,,21206.0,4/25/2023,Uganda
356.0,Amelina,Chevrolet,17.0,,2/15/2023,Tanzania
357.0,Kamilah,Isuzu,8.0,,6/25/2023,Kenya
,Jareb,Suzuki,,,4/25/2023,Uganda
359.0,Rodolfo,Mercedes-Benz,7.0,27840.0,7/20/2023,Kenya
,Chrisse,Toyota,20.0,18704.0,1/1/2023,Uganda
,Gerty,GMC,,28842.0,3/28/2023,Tanzania
,Agnes,Chevrolet,17.0,,6/13/2023,Tanzania
363.0,Krystal,Kia,,26261.0,4/2/2023,Kenya
364.0,Quinn,Chevrolet,9.0,19767.0,2/9/2023,
365.0,Auberta,Pontiac,12.0,23955.0,3/30/2023,
366.0,Clarissa,,2.0,25786.0,10/4/2023,Tanzania
367.0,Drugi,Chevrolet,4.0,16551.0,12/1/2023,Tanzania
368.0,Lyndell,Mercury,,12031.0,7/4/2023,
,Stace,Chevrolet,19.0,29308.0,5/25/2023,
370.0,Arte,Ford,12.0,10066.0,2/5/2023,Kenya
,Woodrow,Dodge,,21170.0,11/23/2023,Uganda
372.0,Virgilio,BMW,,26378.0,1/24/2023,
373.0,Celine,Alfa Romeo,6.0,14763.0,4/14/2023,Tanzania
,Yancey,Ford,20.0,23122.0,8/22/2023,Uganda
375.0,Renata,Jeep,13.0,16356.0,5/14/2023,Uganda
,Kally,Dodge,,,11/20/2023,Tanzania
377.0,Horst,BMW,,15228.0,6/4/2023,Tanzania
,Earle,,1.0,22946.0,2/27/2023,
,Cherey,BMW,14.0,15112.0,5/31/2023,Kenya
380.0,Hewet,Scion,,,7/27/2023,Kenya
381.0,Alverta,GMC,12.0,15727.0,10/1/2023,Uganda
382.0,Auberta,Merkur,6.0,20676.0,12/15/2023,Tanzania
383.0,Ottilie,Ford,20.0,13874.0,10/25/2023,Tanzania
,Murvyn,Mitsubishi,6.0,,4/8/2023,Tanzania
385.0,Cortie,Dodge,,14590.0,12/4/2023,Tanzania
,Damita,,15.0,27495.0,3/7/2023,Tanzania
387.0,Cherice,Buick,,11527.0,12/13/2023,Tanzania
388.0,Tessa,,2.0,24416.0,3/5/2023,Tanzania
389.0,Kristien,Mitsubishi,,16179.0,9/1/2023,Tanzania
390.0,Melvin,Ford,,,7/9/2023,Kenya
,Jere,,,22323.0,11/3/2023,Tanzania
,Iggie,,,13090.0,6/26/2023,Tanzania
,Sibyl,,20.0,11148.0,2/5/2023,
394.0,Cynthia,Acura,,27116.0,4/28/2023,Tanzania
,Pierre,Lexus,,20360.0,11/26/2023,Tanzania
,Kirstyn,,20.0,,4/26/2023,Uganda
397.0,Davey,BMW,,20411.0,12/9/2023,
,Aliza,Volkswagen,14.0,28133.0,4/9/2023,Tanzania
399.0,Micheil,Mazda,8.0,14583.0,12/21/2023,Uganda
,Marcia,BMW,3.0,,5/18/2023,Tanzania
401.0,Barthel,GMC,10.0,29463.0,1/31/2023,
402.0,Wilone,Dodge,9.0,24367.0,3/26/2023,Kenya
,Francisco,Nissan,19.0,14552.0,7/9/2023,Uganda
404.0,Clair,Chrysler,,23535.0,11/10/2023,Uganda
405.0,Ker,Infiniti,10.0,27268.0,7/17/2023,Uganda
,Hazel,GMC,4.0,14355.0,8/24/2023,
407.0,Lizette,Kia,5.0,,10/16/2023,Uganda
408.0,Vernice,Honda,,13801.0,12/10/2023,Uganda
409.0,Blithe,Ford,,22338.0,5/29/2023,Tanzania
,Ibbie,Ford,13.0,24666.0,6/7/2023,Uganda
411.0,Mikol,Toyota,19.0,17364.0,5/10/2023,Tanzania
412.0,Aviva,,,21003.0,2/13/2023,Kenya
413.0,Adriena,Mitsubishi,15.0,23689.0,4/6/2023,Tanzania
414.0,Teddie,Lexus,9.0,29550.0,6/9/2023,Uganda
415.0,Gabey,Jaguar,,15020.0,6/29/2023,
416.0,Ursuline,,18.0,13108.0,2/27/2023,
,Maribel,Nissan,,,8/29/2023,Kenya
,Garrot,GMC,3.0,26606.0,12/27/2023,Uganda
419.0,Trescha,Suzuki,14.0,24547.0,6/15/2023,Tanzania
420.0,Nathanael,Subaru,20.0,18970.0,6/20/2023,Uganda
,Viki,Buick,,24426.0,10/19/2023,Kenya
,Ray,,,,2/8/2023,Uganda
423.0,Lonnard,Plymouth,,14828.0,1/22/2023,Tanzania
424.0,Ines,Mitsubishi,1.0,14695.0,6/18/2023,Uganda
,Lyda,Audi,,21893.0,8/5/2023,Kenya
,Merridie,Mercury,4.0,20774.0,10/1/2023,Tanzania
427.0,Geraldine,Suzuki,17.0,13952.0,9/1/2023,Uganda
428.0,Aggy,,,11985.0,1/27/2023,
429.0,Harmon,Acura,15.0,14482.0,5/28/2023,Uganda
,Wynn,MG,,20186.0,6/19/2023,
431.0,Verna,Mazda,8.0,,11/17/2023,Kenya
,Cyrill,BMW,,,11/1/2023,Tanzania
433.0,Lisbeth,,14.0,25965.0,4/14/2023,Uganda
,Harlan,Pontiac,11.0,24861.0,8/8/2023,Tanzania
435.0,Jacquenette,Pontiac,18.0,20546.0,1/1/2023,
436.0,Zorana,Chevrolet,2.0,20090.0,3/27/2023,
,Kimberlee,,3.0,22232.0,6/12/2023,Tanzania
438.0,Ingrid,GMC,,10852.0,6/6/2023,Uganda
,Julianna,Lexus,,23328.0,1/9/2023,Kenya
440.0,Raynard,,16.0,,11/10/2023,Tanzania
,Webb,Buick,,26670.0,9/8/2023,
442.0,Marcella,GMC,,19757.0,6/10/2023,Tanzania
443.0,Ashley,Honda,,,11/1/2023,Kenya
,Mead,Jeep,,13670.0,9/19/2023,Tanzania
,Marlon,,12.0,27332.0,4/8/2023,
,Odelia,,,24727.0,7/9/2023,Tanzania
447.0,Maddalena,,13.0,16055.0,8/11/2023,Tanzania
448.0,Bernette,Maybach,15.0,16969.0,8/21/2023,Tanzania
,Josee,,4.0,15251.0,5/16/2023,Uganda
